case_id,curve_id,solver_model,mode_family,p,q,sample_index,a_over_A,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,102,3.4075000000000002,3.7251346554479768e-06,1.8625673277239884e-06,1,1,709424.47405280534,719626.81867025059,9370447.8957662266,0.8763482544776674
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,103,3.4404166666666667,3.7611196930831427e-06,1.8805598465415713e-06,1,1,703724.99734243669,713768.36626486527,9371325.7043621764,0.87834040887598097
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,104,3.4733333333333336,3.7971047307183094e-06,1.8985523653591547e-06,1,1,698115.91221454693,708003.92065503402,9372182.4689478911,0.88028498462137006
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,105,3.5062500000000001,3.8330897683534752e-06,1.9165448841767376e-06,1,1,692595.10000661248,702331.25711128919,9373018.8542718496,0.8821834775798294
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,106,3.539166666666667,3.8690748059886424e-06,1.9345374029943212e-06,1,1,687160.50715572364,696748.21973603964,9373835.4991702512,0.88403732563889725
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,107,3.5720833333333335,3.9050598436238087e-06,1.9525299218119043e-06,1,1,681810.14274635236,691252.71886105416,9374633.0177623313,0.88584791136416507
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,108,3.6050000000000004,3.9410448812589749e-06,1.9705224406294875e-06,1,1,676542.07616592362,685842.72856255015,9375412.0005821213,0.88761656451563908
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,109,3.6379166666666669,3.9770299188941412e-06,1.9885149594470706e-06,1,1,671354.43486493849,680516.28428213974,9376173.0156508032,0.8893445644330602
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,110,3.6708333333333334,4.0130149565293075e-06,2.0065074782646537e-06,1,1,666245.40221281396,675271.48055558722,9376916.6094928458,0.89103314229710784
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,111,3.7037500000000003,4.0489999941644738e-06,2.0244999970822369e-06,1,1,661213.21544945543,670106.4688356542,9377643.3080995288,0.89268348327441982
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,112,3.7366666666666668,4.0849850317996401e-06,2.04249251589982e-06,1,1,656256.16372143896,665019.45541165059,9378353.61784284,0.89429672855294262
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,113,3.7695833333333337,4.1209700694348063e-06,2.0604850347174032e-06,1,1,651372.58620575326,660008.6994165451,9379048.026342459,0.89587397727354123
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,114,3.8025000000000002,4.1569551070699726e-06,2.0784775535349863e-06,1,1,646560.87031096872,655072.51091901259,9379727.0032888092,0.8974162883644492
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,115,3.8354166666666671,4.1929401447051389e-06,2.0964700723525694e-06,1,1,641819.4499558371,650209.2490965121,9380391.0012244154,0.89892468228341493
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,116,3.8683333333333336,4.2289251823403052e-06,2.1144625911701526e-06,1,1,637146.8039200909,645417.32048872346,9381040.4562858492,0.90040014267257895
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,117,3.9012500000000001,4.2649102199754715e-06,2.1324551099877357e-06,1,1,632541.45426254487,640695.1773137222,9381675.7889094967,0.90184361793323253
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,118,3.934166666666667,4.3008952576106377e-06,2.1504476288053189e-06,1,1,628001.96480780398,636041.31586778222,9382297.4045012556,0.90325602272058014
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,119,3.9670833333333335,4.336880295245804e-06,2.168440147622902e-06,1,1,623526.93969276035,631454.2749807213,9382905.6940742098,0.90463823936753174
SG-008-METAL-001,E_y_1_1,exact,E_y,1,1,120,4.0000000000000009,4.3728653328809711e-06,2.1864326664404856e-06,1,1,619115.02197320107,626932.63453985588,9383501.0348547585,0.90599111923849951
SG-008-METAL-001,E_x_1_1,exact,E_x,1,1,0,0.050000000000000003,5.4660816661012134e-08,2.7330408330506067e-08,0,1,nan,nan,nan,nan
SG-008-METAL-001,E_x_1_1,exact,E_x,1,1,1,0.082916666666666666,9.064585429617844e-08,4.532292714808922e-08,0,1,nan,nan,nan,nan
SG-008-METAL-001,E_x_1_1,exact,E_x,1,1,2,0.11583333333333334,1.2663089193134477e-07,6.3315445965672386e-08,0,1,nan,nan,nan,nan
SG-008-METAL-001,E_x_1_1,exact,E_x,1,1,3,0.14874999999999999,1.6261592956651108e-07,8.130796478325554e-08,0,1,nan,nan,nan,nan
SG-008-METAL-001,E_x_1_1,exact,E_x,1,1,4,0.1816666666666667,1.9860096720167744e-07,9.9300483600838719e-08,0,1,nan,nan,nan,nan
SG-008-METAL-001,E_x_1_1,exact,E_x,1,1,5,0.21458333333333335,2.3458600483684374e-07,1.1729300241842187e-07,0,1,nan,nan,nan,nan
SG-008-METAL-001,E_x_1_1,exact,E_x,1,1,6,0.2475,2.7057104247201005e-07,1.3528552123600503e-07,0,1,nan,nan,nan,nan
SG-008-METAL-001,E_x_1_1,exact,E_x,1,1,7,0.2804166666666667,3.0655608010717638e-07,1.5327804005358819e-07,0,1,nan,nan,nan,nan
SG-008-METAL-001,E_x_1_1,exact,E_x,1,1,8,0.31333333333333335,3.4254111774234272e-07,1.7127055887117136e-07,0,1,nan,nan,nan,nan
SG-008-METAL-001,E_x_1_1,exact,E_x,1,1,9,0.34625,3.78526155377509e-07,1.892630776887545e-07,0,1,nan,nan,nan,nan
